,D1_number,D1_density,5HT2A_number,5HT2A_density,D2_number,D2_density
R.ICG,39262.85634261742,18.840142198952694,50745.28,39.769028,1524.8090523827705,0.6912099058852087
R.LOG,82688.60266015027,8.451410737954852,297509.5,52.42458,4781.584608053556,0.7230583106084312
R.LOFG,121761.64129704236,17.8850824466866,148954.19,49.667953,6625.45109985763,1.015394804575882
R.LG,73573.31499526859,13.989981934829547,162568.86,49.069984,3512.2557766485843,0.7003501050146729
R.MOFG,95542.8581369021,21.2553633230038,124923.03,46.302086,3922.662011853943,0.9583830959819064
R.MTG,148089.13665280235,13.441874979831384,292332.03,60.58695,11028.23705554154,1.4198837460462908
R.PHIG,22322.54413433373,13.431133654833772,32978.04,30.255081,1933.4664098378853,0.9468493681870154
R.PaCG,38899.72128666262,10.929958214853222,77043.04,39.59046,2116.1796611279715,0.5949338378206274
R.POP,58390.21956418269,14.906872495323636,103587.45,57.199036,2879.494643555023,1.0005193341052894
R.POR,35516.57383849565,12.729954780822814,45933.14,58.88864,1549.5889964370872,0.8656921767804956
R.PTR,52506.46001743921,11.456788133851015,93894.78,55.526188,1906.563633872545,0.8358455212067275
R.PCAL,32696.94844317436,15.408552517989802,81709.09,57.90864,967.371181992232,0.5496427170410408
R.PoCG,57505.98213042342,7.371616732524474,257489.47,41.257725,6388.179377204273,0.8418792010021445
R.PCG,51881.17152357101,19.817101422296037,86067.75,50.957817,2533.2419045618735,0.8075364694172373
R.PrCG,106437.43782373524,8.88681955612718,290027.4,46.014183,7510.27988731605,0.6723616729915891
R.PCU,149958.75588083267,15.23816236976249,315291.44,54.099422,5497.049117622839,0.8277441827470018
R.RACG,43487.75456428528,22.14244122417784,24798.84,32.459213,1410.5626111258753,0.7982810476094371
R.RMFG,163539.05455643707,11.3262036537459,357132.12,56.94071,8063.772134157596,0.8786937053675054
R.SFG,197052.7358331025,9.770564053604843,483080.84,54.16919,11380.942226377549,0.7204495933644077
R.SPG,71239.87450837155,6.437725872796995,321368.88,47.37159,5796.344614299713,0.7625765839099741
R.STG,148475.74027541606,13.478189930593324,314322.88,53.803986,12700.398454215552,1.3927402625524237
R.SMG,90904.2384067616,11.065640706848644,314001.97,54.60904,6885.155061046709,1.1103297953631204
R.FP,13529.880842349492,10.772198122889725,17177.832,58.428,919.617173021834,0.8602592825274404
R.TP,40185.660068795085,14.58115387111578,22645.078,40.008972,3352.269793056242,1.5716220314375258
R.TTG,16009.936621665956,20.873450614949093,28219.463,53.64917,744.5665368888876,0.9192179467764044
R.IN,155969.55553519726,21.54870897142819,138624.47,42.85146,15620.183056858485,2.3485465429045984
L.RN,0.0,0.0,0.0,0.0,0.0,0.0
R.RN,0.0,0.0,0.0,0.0,0.0,0.0
L.SN,0.0,0.0,0.0,0.0,0.0,0.0
R.SN,0.0,0.0,0.0,0.0,0.0,0.0
L.VTA,0.0,0.0,0.0,0.0,0.0,0.0
R.VTA,0.0,0.0,0.0,0.0,0.0,0.0
